Airline,Source,Destination,Total_Stops,Price,day_of_Journey,month_of_Journey,year_of_Journey,Total_duration_in_minutes,Dep_Time_Hour,Dep_Time_Minute,Arrival_Time_Hour,Arrival_Time_Minute
Jet Airways,Delhi,Cochin,2.0,10368.0,1.0,6.0,2019.0,1125.0,9.0,40.0,4.0,25.0
Air India,Kolkata,Banglore,2.0,14083.0,24.0,5.0,2019.0,920.0,10.0,0.0,1.0,20.0
Jet Airways,Kolkata,Banglore,1.0,13067.0,21.0,5.0,2019.0,750.0,9.0,35.0,22.0,5.0
Multiple carriers,Delhi,Cochin,1.0,7215.0,21.0,3.0,2019.0,640.0,10.0,20.0,21.0,0.0
Multiple carriers,Delhi,Cochin,1.0,7354.0,24.0,6.0,2019.0,705.0,7.0,30.0,19.0,15.0
IndiGo,Delhi,Cochin,1.0,7006.0,21.0,5.0,2019.0,810.0,7.0,30.0,21.0,0.0
Jet Airways,Kolkata,Banglore,1.0,8529.0,12.0,6.0,2019.0,1155.0,14.0,5.0,9.0,20.0
Air India,Banglore,Delhi,0.0,5228.0,15.0,4.0,2019.0,170.0,21.0,5.0,23.0,55.0
IndiGo,Delhi,Cochin,0.0,5000.0,21.0,6.0,2019.0,195.0,5.0,35.0,8.0,50.0
Jet Airways,Banglore,Delhi,0.0,7229.0,24.0,5.0,2019.0,180.0,17.0,45.0,20.0,45.0
Jet Airways,Banglore,Delhi,0.0,7229.0,15.0,5.0,2019.0,185.0,18.0,55.0,22.0,0.0
Multiple carriers,Delhi,Cochin,1.0,7308.0,27.0,5.0,2019.0,570.0,16.0,0.0,1.0,30.0
Air India,Banglore,Delhi,0.0,6961.0,24.0,6.0,2019.0,170.0,13.0,20.0,16.0,10.0
Jet Airways,Banglore,Delhi,1.0,26890.0,1.0,3.0,2019.0,435.0,8.0,55.0,16.0,10.0
Jet Airways,Banglore,Delhi,0.0,8016.0,15.0,6.0,2019.0,175.0,15.0,15.0,18.0,10.0
Jet Airways,Banglore,Delhi,0.0,7229.0,27.0,5.0,2019.0,180.0,7.0,10.0,10.0,10.0
Jet Airways,Banglore,Delhi,1.0,54826.0,1.0,3.0,2019.0,365.0,16.0,55.0,23.0,0.0
Jet Airways,Banglore,Delhi,0.0,7229.0,9.0,4.0,2019.0,180.0,19.0,50.0,22.0,50.0
Jet Airways,Banglore,Delhi,1.0,16736.0,6.0,3.0,2019.0,700.0,20.0,35.0,8.0,15.0
Jet Airways,Kolkata,Banglore,1.0,15149.0,6.0,5.0,2019.0,570.0,14.0,5.0,23.0,35.0
Jet Airways,Kolkata,Banglore,1.0,9663.0,24.0,5.0,2019.0,730.0,21.0,10.0,9.0,20.0
Air India,Delhi,Cochin,1.0,8425.0,15.0,5.0,2019.0,1535.0,5.0,15.0,6.0,50.0
IndiGo,Kolkata,Banglore,0.0,4804.0,27.0,4.0,2019.0,150.0,15.0,15.0,17.0,45.0
Air India,Delhi,Cochin,1.0,5117.0,3.0,4.0,2019.0,1255.0,12.0,30.0,9.0,25.0
Jet Airways,Banglore,Delhi,1.0,11087.0,12.0,3.0,2019.0,1050.0,18.0,55.0,12.0,25.0
Jet Airways,Banglore,Delhi,1.0,9134.0,15.0,3.0,2019.0,570.0,5.0,45.0,15.0,15.0
Air India,Delhi,Cochin,2.0,13591.0,9.0,5.0,2019.0,1380.0,20.0,15.0,19.0,15.0
Multiple carriers,Delhi,Cochin,1.0,15353.0,6.0,3.0,2019.0,535.0,10.0,20.0,19.0,15.0
Vistara,Kolkata,Banglore,1.0,8610.0,6.0,5.0,2019.0,1440.0,20.0,20.0,20.0,20.0
Air India,Delhi,Cochin,0.0,5201.0,24.0,6.0,2019.0,180.0,14.0,10.0,17.0,10.0
Jet Airways,Delhi,Cochin,2.0,19266.0,3.0,3.0,2019.0,1365.0,5.0,40.0,4.0,25.0
Vistara,Banglore,Delhi,0.0,4668.0,18.0,6.0,2019.0,160.0,7.0,0.0,9.0,40.0
Air Asia,Kolkata,Banglore,0.0,4409.0,3.0,5.0,2019.0,155.0,10.0,20.0,12.0,55.0
Vistara,Banglore,Delhi,0.0,4668.0,9.0,5.0,2019.0,170.0,9.0,45.0,12.0,35.0
Jet Airways,Delhi,Cochin,2.0,13882.0,15.0,6.0,2019.0,1140.0,9.0,25.0,4.0,25.0
Jet Airways,Kolkata,Banglore,1.0,14571.0,6.0,6.0,2019.0,1495.0,18.0,55.0,19.0,50.0
Multiple carriers,Delhi,Cochin,2.0,24528.0,3.0,3.0,2019.0,465.0,17.0,50.0,1.0,35.0
Jet Airways,Delhi,Cochin,1.0,10262.0,15.0,6.0,2019.0,1145.0,17.0,30.0,12.0,35.0
Jet Airways,Delhi,Cochin,2.0,13029.0,9.0,5.0,2019.0,1125.0,9.0,40.0,4.0,25.0
SpiceJet,Delhi,Cochin,1.0,5409.0,6.0,6.0,2019.0,295.0,17.0,55.0,22.0,50.0
Vistara,Mumbai,Hyderabad,1.0,12395.0,6.0,3.0,2019.0,1560.0,20.0,55.0,22.0,55.0
GoAir,Banglore,Delhi,0.0,4340.0,24.0,3.0,2019.0,175.0,11.0,40.0,14.0,35.0
Air India,Delhi,Cochin,2.0,8839.0,1.0,5.0,2019.0,970.0,17.0,15.0,9.0,25.0
IndiGo,Kolkata,Banglore,1.0,4226.0,6.0,5.0,2019.0,220.0,19.0,35.0,23.0,15.0
Jet Airways,Delhi,Cochin,1.0,10262.0,27.0,6.0,2019.0,620.0,2.0,15.0,12.0,35.0
IndiGo,Kolkata,Banglore,0.0,4804.0,1.0,6.0,2019.0,155.0,22.0,15.0,0.0,50.0
Air Asia,Kolkata,Banglore,0.0,3807.0,18.0,6.0,2019.0,150.0,22.0,50.0,1.0,20.0
IndiGo,Delhi,Cochin,1.0,10123.0,15.0,5.0,2019.0,305.0,23.0,30.0,4.0,35.0
Air India,Banglore,Delhi,0.0,7801.0,9.0,3.0,2019.0,165.0,10.0,0.0,12.0,45.0
Multiple carriers,Delhi,Cochin,1.0,13062.0,21.0,3.0,2019.0,570.0,11.0,30.0,21.0,0.0
Air India,Banglore,Delhi,0.0,7171.0,15.0,6.0,2019.0,165.0,17.0,0.0,19.0,45.0
Multiple carriers,Delhi,Cochin,1.0,15136.0,6.0,3.0,2019.0,390.0,9.0,0.0,15.0,30.0
Air India,Delhi,Cochin,1.0,8669.0,15.0,5.0,2019.0,735.0,7.0,0.0,19.0,15.0
Jet Airways,Kolkata,Banglore,1.0,13759.0,24.0,3.0,2019.0,1575.0,21.0,10.0,23.0,25.0
SpiceJet,Delhi,Cochin,1.0,5830.0,15.0,4.0,2019.0,270.0,8.0,45.0,13.0,15.0
Air India,Delhi,Cochin,1.0,8372.0,27.0,5.0,2019.0,1395.0,20.0,0.0,19.0,15.0
Jet Airways,Banglore,Delhi,2.0,11245.0,18.0,3.0,2019.0,420.0,8.0,55.0,15.0,55.0
Air India,Delhi,Cochin,0.0,4729.0,27.0,3.0,2019.0,170.0,5.0,10.0,8.0,0.0
IndiGo,Kolkata,Banglore,1.0,5069.0,6.0,5.0,2019.0,290.0,8.0,10.0,13.0,0.0
Jet Airways,Banglore,Delhi,0.0,7229.0,12.0,4.0,2019.0,185.0,18.0,55.0,22.0,0.0
SpiceJet,Mumbai,Hyderabad,0.0,1759.0,3.0,4.0,2019.0,90.0,22.0,45.0,0.0,15.0
Air India,Banglore,Delhi,0.0,6961.0,18.0,5.0,2019.0,165.0,10.0,0.0,12.0,45.0
Jet Airways,Banglore,Delhi,1.0,12547.0,12.0,3.0,2019.0,1590.0,5.0,45.0,8.0,15.0
Air India,Mumbai,Hyderabad,0.0,3100.0,24.0,5.0,2019.0,90.0,13.0,55.0,15.0,25.0
